timeStep pedestrianId x-PID4 y-PID4
1 1 1.3549703136685336 7.729530729879666
2 1 1.8133931171390225 7.613766360010158
3 1 2.9982668408508273 7.314506091238415
4 1 4.689994048873704 6.8873303611072485
5 1 6.774584457763511 6.659069158725331
6 1 8.767683120537697 6.3685606021659575
7 1 9.692841897175684 5.497766176225482
8 1 9.64668809069005 4.310835096337579
9 1 8.001613682525292 3.384448877845831
10 1 5.66873798697282 3.261178798438063
11 1 3.146492913248279 3.245648507632095
12 1 1.8999662205039418 3.241674422565374
13 2 1.3623439375449593 7.093252404050834
14 2 2.6914941950548426 6.873692781630898
15 2 4.602753134318963 6.7086566073816325
16 2 6.927547959633845 6.6468352053467425
17 2 9.005332394270129 6.24459190094231
18 2 9.769156106701628 5.141578540729892
19 2 9.215472140014105 3.8679483849104255
20 2 6.9249280378134435 3.315370726581528
21 2 4.260011241028597 3.2496316587209932
22 2 1.9305665390152553 3.242683700071266
24 3 2.114070537083927 7.81933762850585
25 3 4.185422791816304 7.206251313334087
26 3 7.198650028281184 6.629930041522118
27 3 9.532073201226801 5.729875482230831
28 3 9.194121429146918 3.850457519057697
29 3 5.589038214359663 3.2580237087652746
30 3 1.930685473867074 3.2425648835879666
35 4 1.9628566668070153 7.102401556988454
36 4 2.737781246161978 6.961773776508215
37 4 3.8441938294476774 6.76106707403719
38 4 5.200460498364576 6.705817621807188
39 4 6.722966649598032 6.659672454369212
40 4 8.209470529625683 6.546007503747992
41 4 9.21186290237206 6.120542629379432
42 4 9.704634950379694 5.473106547480347
43 4 9.76181493609132 4.678385333074333
44 4 9.303262873709462 3.9509788260377814
45 4 8.107653937361546 3.4053473937113794
46 4 6.579937273952989 3.2978923679854546
46 5 1.9651763611031188 6.713875109591608
47 4 4.936515698120067 3.2516175989719773
47 5 3.640224682325649 6.705394949026304
48 4 3.21432739429608 3.2451622333048236
48 5 6.032162714608897 6.695797421264242
49 4 1.9312866490920293 3.242299722059664
49 5 8.629241891459372 6.430855824331541
50 5 9.766657662448374 5.225724242707231
51 5 8.923171451408132 3.7064582121073766
52 5 6.004328500398063 3.2693215736498127
53 5 2.701015116241704 3.2442484163483827
54 5 1.8756580873371453 3.240496165458883
57 6 2.210923881885132 6.716214412596616
58 6 4.336680692510771 6.709082766828714
59 6 7.35902132285023 6.619633329195141
60 6 9.559354539696724 5.694503541862608
61 6 9.186866683160257 3.8453515668481
62 6 5.6506593347229614 3.2591925951060046
63 6 1.9396515385287416 3.242688780065649
68 7 2.0126905138294937 7.397711361104943
69 7 3.373834758686699 7.088184692209082
70 7 5.325423520960045 6.705173077400496
71 7 7.694577554915976 6.597188094756975
72 7 9.36235842178351 5.964987583063795
73 7 9.762161777770757 4.699026553799224
74 7 8.463709194484933 3.5324961287566814
75 7 5.909801441098903 3.2645983330312585
76 7 3.0881694336175896 3.245100694560082
77 7 1.890416511475863 3.2411679673900307
79 8 1.6474622196940523 8.748494180811305
80 8 2.2229434699516912 8.512772779906776
81 8 3.044594896921648 8.176240176081551
82 8 4.0379985997312176 7.769387668279658
83 8 5.151059207937256 7.313057739244511
84 8 6.347683660103263 6.8224085153069645
85 8 7.640826195233073 6.601601766804596
86 8 8.713392469257968 6.394954986215793
87 8 9.360553067469384 5.967503715609193
88 8 9.714009079667225 5.455032907267856
89 8 9.763512330742486 4.791477502658407
90 8 9.615356628617192 4.272562290746208
90 9 1.3993603905376428 7.949190376247486
91 8 8.950664996106044 3.721621402294211
91 9 2.7720516163547138 7.558520183456509
92 8 7.8818461826855035 3.3716259071586125
92 9 4.731871030579042 7.000594761546008
93 8 6.638613562491749 3.300824759937978
93 9 7.164982943845776 6.631020279362208
94 8 5.3167723591484854 3.2545611994643004
94 9 9.17693811025901 6.142641050677629
95 8 3.9398711351155216 3.2470095589962558
95 9 9.764204935061246 4.841542405936742
96 8 2.525203821765938 3.24379415746954
96 9 8.673136907650504 3.612364456633353
97 8 1.917550739469993 3.2419325467276043
97 9 6.08757631245377 3.2733007467945536
98 9 3.2098388798603197 3.24542655115043
99 9 1.8917411261072923 3.2412301079327035
101 10 1.2623390557255807 8.775040896265162
102 10 2.065432538205997 8.45862442524814
103 10 3.2130396093932867 8.009246383566447
104 10 4.600609481964104 7.4661618529967795
105 10 6.155422675290809 6.857258462334973
106 10 7.858954013627473 6.585568924625201
107 10 9.121002981143672 6.181187026817069
108 10 9.695846216139593 5.492984107816656
109 10 9.758857014601187 4.627507199180047
110 10 9.136410364664483 3.8103900287971926
111 10 7.667453565210244 3.3578114516311417
112 10 5.952469939805587 3.266896968890296
113 10 4.124233416109833 3.248058101415997
114 10 2.2184025659395146 3.243497835016754
115 10 1.8963297217689714 3.2413604035139345
